complaint_type,borough,agency,total_requests,open_requests,sla_miss_rate,aged_share_of_open,priority_score,priority_rank
Sidewalk Condition,Brooklyn,DOT,2632,391,0.0062,0.1739,0.4411,175
Wood Pile Remaining,Brooklyn,DPR,207,108,0.605,0.713,0.4371,176
Sidewalk Condition,Queens,DOT,2089,361,0.0052,0.1994,0.4333,177
Illegal Dumping,Staten Island,DSNY,618,71,0.1051,0.8592,0.4305,178
HEAT/HOT WATER,Staten Island,HPD,396,73,0.1802,0.9589,0.4288,179
Residential Disposal Complaint,Manhattan,DSNY,741,13,0.0175,1.0,0.4286,180
Illegal Dumping,Manhattan,DSNY,1390,25,0.0123,0.68,0.4273,181
Dead Animal,Brooklyn,DSNY,1165,15,0.0103,0.8,0.4248,182
Traffic Signal Condition,Staten Island,DOT,739,5,0.0704,1.0,0.4219,183
Sidewalk Condition,Manhattan,DOT,1366,241,0.0285,0.3444,0.4198,184
Lead,Brooklyn,DEP,1404,136,0.0579,0.375,0.4118,185
Outdoor Dining,Manhattan,DOT,849,200,0.2916,0.21,0.4107,186
Indoor Air Quality,Manhattan,DOHMH,866,8,0.0081,0.875,0.4066,187
Violation of Park Rules,Manhattan,DPR,776,2,0.0039,1.0,0.4057,188
Encampment,Queens,DHS,993,38,0.0557,0.6053,0.4003,189
Homeless Person Assistance,Bronx,DHS,692,9,0.0188,0.8889,0.3965,190
Building/Use,Queens,DOB,5223,0,0.5302,0.0,0.3942,191
Food Poisoning,Brooklyn,DOHMH,249,82,0.4346,0.622,0.3928,192
Animal in a Park,Queens,DPR,330,71,0.2086,0.8592,0.3927,193
Animal in a Park,Manhattan,DPR,649,67,0.0973,0.6269,0.3879,194
Derelict Vehicles,Staten Island,DSNY,457,9,0.0219,1.0,0.3803,195
Lead,Queens,DEP,606,86,0.1084,0.5581,0.3789,196
Indoor Air Quality,Queens,DOHMH,578,2,0.0069,1.0,0.3771,197
Missed Collection,Brooklyn,DSNY,3309,10,0.1656,0.0,0.377,198
Unsanitary Animal Pvt Property,Queens,DOHMH,219,75,0.5779,0.4667,0.3757,199
Indoor Air Quality,Brooklyn,DOHMH,867,7,0.0092,0.7143,0.3742,200
Sidewalk Condition,Bronx,DOT,768,104,0.0405,0.4904,0.3732,201
Curb Condition,Manhattan,DOT,381,71,0.5158,0.2958,0.3715,202
Highway Condition,Queens,DSNY,652,56,0.164,0.4643,0.3701,203
Wood Pile Remaining,Queens,DPR,246,87,0.3568,0.5977,0.3688,204
Graffiti,Bronx,DSNY,476,125,0.1333,0.552,0.3687,205
SAFETY,Queens,HPD,563,143,0.2971,0.2378,0.3659,206
Noise,Staten Island,DEP,566,23,0.4558,0.2174,0.365,207
Derelict Vehicles,Manhattan,DSNY,496,1,0.004,1.0,0.3601,208
Graffiti,Queens,DSNY,598,128,0.0856,0.4375,0.3541,209
Rodent,Bronx,DOHMH,1119,83,0.1627,0.0723,0.3468,210
Building/Use,Brooklyn,DOB,2626,0,0.5217,0.0,0.3448,211
Indoor Air Quality,Bronx,DOHMH,574,8,0.014,0.75,0.3424,212
Lead,Manhattan,DEP,746,75,0.0529,0.36,0.3381,213
Street Sign - Missing,Brooklyn,DOT,327,40,0.1931,0.65,0.3374,214
Street Sweeping Complaint,Brooklyn,DSNY,1226,15,0.0123,0.3333,0.3369,215
Dead Animal,Bronx,DSNY,409,7,0.0147,0.8571,0.3341,216
Missed Collection,Queens,DSNY,2894,5,0.1088,0.0,0.3334,217
Rodent,Staten Island,DOHMH,359,99,0.4116,0.1919,0.3322,218
Encampment,Bronx,NYPD,591,28,0.1299,0.4286,0.3318,219
Animal in a Park,Brooklyn,DPR,868,20,0.0374,0.35,0.3276,220
Missed Collection,Staten Island,DSNY,1450,5,0.2455,0.0,0.3252,221
Street Sign - Damaged,Brooklyn,DOT,416,38,0.1232,0.5263,0.324,222
Street Sign - Dangling,Queens,DOT,433,33,0.0569,0.6061,0.3236,223
Residential Disposal Complaint,Brooklyn,DSNY,1571,26,0.0194,0.0769,0.3205,224
UNSANITARY CONDITION,Staten Island,HPD,754,86,0.0569,0.2093,0.3159,225
Violation of Park Rules,Brooklyn,DPR,384,6,0.0183,0.8333,0.3154,226
Violation of Park Rules,Queens,DPR,403,8,0.0199,0.75,0.3129,227
Street Sweeping Complaint,Queens,DSNY,264,1,0.0076,1.0,0.3039,228
General Construction/Plumbing,Brooklyn,DOB,5186,0,0.1599,0.0,0.3008,229
Illegal Parking,Brooklyn,NYPD,64294,0,0.0015,0.0,0.3004,230
Illegal Parking,Queens,NYPD,50563,0,0.0036,0.0,0.3001,231
Noise - Residential,Bronx,NYPD,26212,0,0.0006,0.0,0.2977,232
Noise - Residential,Queens,NYPD,24653,0,0.0059,0.0,0.2974,233
